SUPERFAMILIES,SUBFAMILIES,COPIES
NonLTR/Kiri,Kiri-20_HMM,1936
NonLTR/Kiri,Kiri-7_HMM,1223
NonLTR/Kiri,L2-1_BM,1755
NonLTR/L2,L2-10_Hmel,4220
NonLTR/L2,L2-15_Hmel,1144
NonLTR/Proto2,Proto2-1_BM,1158
NonLTR/RTE,RTE-3_BM,1568
NonLTR/SINE2,BM1,2050
NonLTR/SINE2,BmSE,1956
NonLTR/SINE2,HaSE1,3202
NonLTR/SINE2,HaSE2_DP,1399
NonLTR/SINE3,SINE3-1_TC,3682
RC/Helitron,bomMor4-165,2554
RC/Helitron,calcopis3-844,3625
RC/Helitron,lerAcc3-221,1054
RC/Helitron,lerAcc5-1133,5099
RC/Helitron,manSex4-38,1076
RC/Helitron,opeBru3-48,5428
RC/Helitron,opeBru4-2482,5252
RC/Helitron,opeBru5-674,2211
RC/Helitron,papGla4-172,1927
SINE,opeBru3-93,3904
SINE,papPol3-368,3135
SINE,papXut4-37,1735
SINE,phoSen3-583,8579
SINE,phoSen4-1123,1630
SINE/5S-Deu,lerAcc4-505,7076
SINE/5S-Deu,phoSen5-3223,1122
SINE/B2,lerAcc4-948,1204
SINE/tRNA,calcopis5-1042,2176
SINE/tRNA,opeBru3-211,12665
SINE/tRNA,phoSen3-125,32484
SINE/tRNA-CR1,bomMor3-108,18653
SINE/tRNA-CR1,bomMor3-397,1843
SINE/tRNA-CR1,leptidea3-423,26356
SINE/tRNA-CR1,leptidea3-771,91456
Unknown,bomMor3-137,1687
Unknown,bomMor3-36,2654
Unknown,bomMor4-163,1605
Unknown,bomMor4-188,1294
Unknown,bomMor5-4690,1989
Unknown,calcopis5-3899,1829
Unknown,leptidea5-1492,1411
Unknown,leptidea5-2488,10234
Unknown,lerAcc3-226,1875
Unknown,lerAcc4-512,3066
Unknown,lerAcc4-88,1617
Unknown,lerAcc5-175,6781
Unknown,lerAcc6-1005,1577
Unknown,lerAcc6-6371,2012
Unknown,manSex4-2551,4293
Unknown,manSex4-51,1297
Unknown,manSex4-850,1321
Unknown,manSex5-1223,43123
Unknown,manSex5-134,3734
Unknown,manSex5-569,1890
Unknown,melCin4-244,3355
Unknown,melCin4-29,2122
Unknown,melCin4-540,1119
Unknown,melCin4-71,2134
Unknown,melCin4-84,1104
Unknown,melCin5-650,1235
Unknown,melCin6-1146,1297
Unknown,opeBru2-1363,5193
Unknown,opeBru2-2017,4195
Unknown,opeBru2-528,6969
Unknown,opeBru2-79,4568
Unknown,opeBru3-100,1992
Unknown,opeBru3-1011,1435
Unknown,opeBru3-102,8385
Unknown,opeBru3-1030,2568
Unknown,opeBru3-1037,1832
Unknown,opeBru3-1101,3226
Unknown,opeBru3-1122,2926
Unknown,opeBru3-1163,2483
Unknown,opeBru3-12,12878
Unknown,opeBru3-1227,1802
Unknown,opeBru3-1299,1769
Unknown,opeBru3-1306,1416
Unknown,opeBru3-137,1328
Unknown,opeBru3-142,11303
Unknown,opeBru3-146,4262
Unknown,opeBru3-1518,2081
Unknown,opeBru3-164,3846
Unknown,opeBru3-170,3791
Unknown,opeBru3-1742,1398
Unknown,opeBru3-1743,4121
Unknown,opeBru3-1771,1958
Unknown,opeBru3-1908,2054
Unknown,opeBru3-193,3558
Unknown,opeBru3-2143,3270
Unknown,opeBru3-2244,2343
Unknown,opeBru3-230,1617
Unknown,opeBru3-231,1310
Unknown,opeBru3-2367,4343
Unknown,opeBru3-2449,4470
Unknown,opeBru3-2491,2067
Unknown,opeBru3-252,8807
Unknown,opeBru3-259,4476
Unknown,opeBru3-267,5534
Unknown,opeBru3-272,12888
Unknown,opeBru3-299,2091
Unknown,opeBru3-3,6154
Unknown,opeBru3-3115,2711
Unknown,opeBru3-319,1574
Unknown,opeBru3-321,4891
Unknown,opeBru3-332,1529
Unknown,opeBru3-333,4538
Unknown,opeBru3-3862,2634
Unknown,opeBru3-387,4568
Unknown,opeBru3-4,1791
Unknown,opeBru3-418,2906
Unknown,opeBru3-4283,3489
Unknown,opeBru3-4489,1249
Unknown,opeBru3-475,1126
Unknown,opeBru3-505,3450
Unknown,opeBru3-55,3060
Unknown,opeBru3-558,23029
Unknown,opeBru3-581,3939
Unknown,opeBru3-60,7094
Unknown,opeBru3-627,2275
Unknown,opeBru3-644,2771
Unknown,opeBru3-666,2992
Unknown,opeBru3-680,20000
Unknown,opeBru3-687,2416
Unknown,opeBru3-689,1033
Unknown,opeBru3-706,10922
Unknown,opeBru3-716,5273
Unknown,opeBru3-76,26583
Unknown,opeBru3-79,2209
Unknown,opeBru3-796,4583
Unknown,opeBru3-854,5445
Unknown,opeBru3-86,20404
Unknown,opeBru3-938,2086
Unknown,opeBru3-95,43037
Unknown,opeBru4-1007,1028
Unknown,opeBru4-101,1270
Unknown,opeBru4-109,1888
Unknown,opeBru4-1133,1903
Unknown,opeBru4-1149,8344
Unknown,opeBru4-1163,1962
Unknown,opeBru4-1189,1504
Unknown,opeBru4-120,1109
Unknown,opeBru4-1241,1521
Unknown,opeBru4-1264,7835
Unknown,opeBru4-1329,1046
Unknown,opeBru4-133,4599
Unknown,opeBru4-1384,2143
Unknown,opeBru4-139,1412
Unknown,opeBru4-1391,5596
Unknown,opeBru4-140,6661
Unknown,opeBru4-1419,1306
Unknown,opeBru4-1432,1470
Unknown,opeBru4-144,1341
Unknown,opeBru4-15,1355
Unknown,opeBru4-1500,2625
Unknown,opeBru4-151,1675
Unknown,opeBru4-153,4467
Unknown,opeBru4-1574,1938
Unknown,opeBru4-1598,1228
Unknown,opeBru4-1638,2621
Unknown,opeBru4-1677,1081
Unknown,opeBru4-1679,1075
Unknown,opeBru4-1707,2048
Unknown,opeBru4-1736,1054
Unknown,opeBru4-1759,2383
Unknown,opeBru4-178,1607
Unknown,opeBru4-1868,1285
Unknown,opeBru4-192,1048
Unknown,opeBru4-1979,2000
Unknown,opeBru4-1984,1627
Unknown,opeBru4-2078,1432
Unknown,opeBru4-212,1140
Unknown,opeBru4-225,1263
Unknown,opeBru4-2263,1642
Unknown,opeBru4-227,1089
Unknown,opeBru4-2355,1178
Unknown,opeBru4-2358,1112
Unknown,opeBru4-2470,1560
Unknown,opeBru4-2499,1020
Unknown,opeBru4-2743,6894
Unknown,opeBru4-288,1813
Unknown,opeBru4-31,1251
Unknown,opeBru4-329,1568
Unknown,opeBru4-339,2103
Unknown,opeBru4-37,1108
Unknown,opeBru4-372,2386
Unknown,opeBru4-389,4610
Unknown,opeBru4-403,1131
Unknown,opeBru4-427,1141
Unknown,opeBru4-446,1622
Unknown,opeBru4-4484,1068
Unknown,opeBru4-46,4230
Unknown,opeBru4-464,3076
Unknown,opeBru4-467,1930
Unknown,opeBru4-471,2621
Unknown,opeBru4-478,1729
Unknown,opeBru4-479,3458
Unknown,opeBru4-487,1068
Unknown,opeBru4-49,1861
Unknown,opeBru4-527,1247
Unknown,opeBru4-531,1242
Unknown,opeBru4-540,1421
Unknown,opeBru4-563,1013
Unknown,opeBru4-571,1057
Unknown,opeBru4-577,1893
Unknown,opeBru4-590,1472
Unknown,opeBru4-607,1786
Unknown,opeBru4-609,2207
Unknown,opeBru4-657,1149
Unknown,opeBru4-711,1198
Unknown,opeBru4-734,1108
Unknown,opeBru4-757,1490
Unknown,opeBru4-778,1461
Unknown,opeBru4-790,2121
Unknown,opeBru4-798,5698
Unknown,opeBru4-80,1864
Unknown,opeBru4-83,23244
Unknown,opeBru4-837,2015
Unknown,opeBru4-87,4148
Unknown,opeBru4-88,1458
Unknown,opeBru4-882,1356
Unknown,opeBru4-921,1968
Unknown,opeBru4-938,1600
Unknown,opeBru4-98,1172
Unknown,opeBru5-1167,1138
Unknown,opeBru5-1229,1511
Unknown,opeBru5-1415,4037
Unknown,opeBru5-1609,1737
Unknown,opeBru5-1619,1003
Unknown,opeBru5-1648,1020
Unknown,opeBru5-1675,18045
Unknown,opeBru5-1934,1169
Unknown,opeBru5-2017,1680
Unknown,opeBru5-207,2224
Unknown,opeBru5-2084,1222
Unknown,opeBru5-2179,2421
Unknown,opeBru5-2187,2555
Unknown,opeBru5-2728,2692
Unknown,opeBru5-333,1093
Unknown,opeBru5-3633,1025
Unknown,opeBru5-479,94673
Unknown,opeBru5-5888,5252
Unknown,opeBru5-590,1830
Unknown,opeBru5-601,1248
Unknown,opeBru5-664,1623
Unknown,opeBru5-666,1053
Unknown,opeBru5-729,1322
Unknown,opeBru5-7558,1757
Unknown,opeBru5-806,26241
Unknown,opeBru5-8123,1047
Unknown,opeBru5-909,3628
Unknown,opeBru5-914,2288
Unknown,opeBru5-993,3880
Unknown,opeBru6-1503,31757
Unknown,opeBru6-1535,2297
Unknown,opeBru6-1731,1564
Unknown,opeBru6-1768,1192
Unknown,opeBru6-1817,11318
Unknown,opeBru6-1928,1507
Unknown,opeBru6-3024,1130
Unknown,opeBru6-323,6144
Unknown,opeBru6-35,2110
Unknown,opeBru6-534,3386
Unknown,opeBru6-55,2043
Unknown,opeBru6-973,82640
Unknown,papGla4-405,2520
Unknown,papGla4-759,5507
Unknown,papGla5-1026,2874
Unknown,phoSen4-110,1256
Unknown,phoSen4-1494,3821
Unknown,phoSen4-853,1339
Unknown,phoSen5-3216,1422
Unknown,phoSen6-4046,1821
Unknown,phoSen6-518,2858
Unknown,pluXyl5-556,1867
