SUPERFAMILIES,SUBFAMILIES,COPIES
Unknown,leptidea3-826,1566
Unknown,leptidea3-875,23364
Unknown,leptidea3-90,1026
Unknown,leptidea4-1,1304
Unknown,leptidea4-1000,5435
Unknown,leptidea4-102,1291
Unknown,leptidea4-1050,1338
Unknown,leptidea4-1365,1823
Unknown,leptidea4-1369,3094
Unknown,leptidea4-1386,1319
Unknown,leptidea4-1484,1392
Unknown,leptidea4-151,1147
Unknown,leptidea4-1546,1057
Unknown,leptidea4-1781,1436
Unknown,leptidea4-1846,1085
Unknown,leptidea4-1865,1710
Unknown,leptidea4-214,1209
Unknown,leptidea4-22,1329
Unknown,leptidea4-220,1214
Unknown,leptidea4-229,1067
Unknown,leptidea4-235,3302
Unknown,leptidea4-2533,1492
Unknown,leptidea4-264,1420
Unknown,leptidea4-2675,1426
Unknown,leptidea4-319,2315
Unknown,leptidea4-339,3336
Unknown,leptidea4-342,1852
Unknown,leptidea4-4,1227
Unknown,leptidea4-421,1224
Unknown,leptidea4-427,3324
Unknown,leptidea4-433,1907
Unknown,leptidea4-447,1777
Unknown,leptidea4-45,2118
Unknown,leptidea4-532,2301
Unknown,leptidea4-652,2146
Unknown,leptidea4-660,1067
Unknown,leptidea4-668,2257
Unknown,leptidea4-677,1506
Unknown,leptidea4-72,8822
Unknown,leptidea4-781,1542
Unknown,leptidea4-79,1315
Unknown,leptidea4-805,2637
Unknown,leptidea4-867,1225
Unknown,leptidea4-9,4511
Unknown,leptidea4-938,5233
Unknown,leptidea4-96,1207
Unknown,leptidea4-976,2108
Unknown,leptidea5-1091,16799
Unknown,leptidea5-1135,1909
Unknown,leptidea5-121,14500
Unknown,leptidea5-1303,1195
Unknown,leptidea5-1451,1082
Unknown,leptidea5-1590,20381
Unknown,leptidea5-1701,17350
Unknown,leptidea5-1742,1285
Unknown,leptidea5-193,2360
Unknown,leptidea5-2147,6378
Unknown,leptidea5-2175,1406
Unknown,leptidea5-2359,4010
Unknown,leptidea5-2567,2051
Unknown,leptidea5-399,1300
Unknown,leptidea5-55,3633
Unknown,leptidea5-579,1100
Unknown,leptidea5-583,1391
Unknown,leptidea5-593,1460
Unknown,leptidea5-935,3155
Unknown,leptidea6-1904,10576
Unknown,leptidea6-1910,1266
Unknown,leptidea6-2268,3195
Unknown,leptidea6-2731,16224
Unknown,leptidea6-304,3657
Unknown,leptidea6-4662,4554
Unknown,lerAcc4-20,1999
Unknown,lerAcc5-53,2221
Unknown,manSex4-775,3426
Unknown,manSex5-134,1232
Unknown,manSex5-2706,4280
Unknown,manSex5-545,3416
Unknown,manSex5-86,5295
Unknown,manSex6-1513,1017
Unknown,melCin4-244,1928
Unknown,melCin4-30,4133
Unknown,melCin4-469,1698
Unknown,melCin4-557,2111
Unknown,melCin4-71,2385
Unknown,melCin4-998,1270
Unknown,melCin5-1011,1043
Unknown,melCin5-1401,2199
Unknown,melCin5-365,3879
Unknown,melCin5-587,5545
Unknown,melCin5-916,3258
Unknown,melCin6-2040,1845
Unknown,opeBru5-1263,3949
Unknown,opeBru5-1565,1656
Unknown,opeBru5-1675,3844
Unknown,opeBru5-2017,5566
Unknown,opeBru5-2849,11192
Unknown,papGla2-10,1224
Unknown,papGla4-109,7535
Unknown,papGla4-405,4317
Unknown,papGla4-759,3157
Unknown,papGla5-1026,2123
Unknown,papGla6-1035,1692
Unknown,papPol3-459,7375
Unknown,papPol5-74,3969
Unknown,papXut5-277,1507
Unknown,phoSen4-1468,1710
Unknown,phoSen4-262,1244
Unknown,pieris5-179,3079
Unknown,pieris5-2664,1352
Unknown,pluXyl5-420,1217
